Repository,Type,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
fr123k / crossplane-provider-test,Native,https://github.com/fr123k/crossplane-provider-test,,0,1,0,2023-02-28,2023-02-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-alibaba,Native,https://github.com/crossplane-contrib/provider-alibaba,Crossplane provider for Alibaba Cloud,46,12,19,2023-02-28,2020-03-04,0001-01-01,,0,0,0,0
frazier / crossplane-provider-demo,Native,https://github.com/frazier/crossplane-provider-demo,,0,1,0,2023-02-27,2023-02-27,0001-01-01,,0,0,0,0
woof / provider-openstack,Upjet,https://github.com/woof/provider-openstack,,0,1,0,2023-02-27,2023-02-27,0001-01-01,,0,0,0,0
crossplane / provider-template,Native,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,79,9,11,2023-02-27,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-azure,Native,https://github.com/crossplane-contrib/provider-azure,Crossplane Azure Provider,85,16,101,2023-02-27,2019-08-30,2022-10-10,https://doc.crds.dev/github.com/crossplane-contrib/provider-azure@v0.20.0,24,17,7,0
HotThoughts / provider-jet-github,Terrajet,https://github.com/HotThoughts/provider-jet-github,Working in progress,4,1,3,2023-02-26,2022-09-09,2022-10-16,https://doc.crds.dev/github.com/HotThoughts/provider-jet-github@v0.0.2,6,6,0,0
upbound / provider-terraform,Native,https://github.com/upbound/provider-terraform,A @crossplane provider for Terraform,34,17,24,2023-02-25,2022-10-05,2023-02-22,https://doc.crds.dev/github.com/upbound/provider-terraform@v0.5.0,4,0,4,0
philips-software / provider-hsdp,Upjet,https://github.com/philips-software/provider-hsdp,Crossplane HSDP provider,4,0,9,2023-02-25,2022-10-30,0001-01-01,,0,0,0,0
kalininsn / provider-gcore,Upjet,https://github.com/kalininsn/provider-gcore,,0,1,0,2023-02-25,2023-02-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-helm,Native,https://github.com/crossplane-contrib/provider-helm,Crossplane Helm Provider,66,12,40,2023-02-25,2020-07-22,2023-02-28,https://doc.crds.dev/github.com/crossplane-contrib/provider-helm@v0.14.0,3,0,3,0
luebken / provider-test,Native,https://github.com/luebken/provider-test,,0,1,0,2023-02-24,2023-02-24,0001-01-01,,0,0,0,0
edgefarm / provider-natssecrets,Native,https://github.com/edgefarm/provider-natssecrets,,0,2,1,2023-02-24,2022-11-08,0001-01-01,,0,0,0,0
