Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
upbound / provider-aws,https://github.com/upbound/provider-aws,Official AWS Provider for Crossplane by Upbound.,42,19,157,2023-02-23,2022-10-04,2023-02-22,https://doc.crds.dev/github.com/upbound/provider-aws@v0.30.0,872,1,871,0
crossplane-contrib / provider-aws,https://github.com/crossplane-contrib/provider-aws,Crossplane AWS Provider,316,23,248,2023-02-23,2019-09-01,2023-02-16,https://doc.crds.dev/github.com/crossplane-contrib/provider-aws@v0.37.1,178,141,37,0
upbound / provider-azure,https://github.com/upbound/provider-azure,Official Azure Provider for Crossplane by Upbound.,17,18,111,2023-02-23,2022-10-05,2023-02-21,https://doc.crds.dev/github.com/upbound/provider-azure@v0.28.0,692,1,691,0
upsidr / provider-civo-upjet,https://github.com/upsidr/provider-civo-upjet,Civo Crossplane provider generated from Terraform,0,2,0,2023-02-23,2023-02-09,0001-01-01,,0,0,0,0
niklasbeinghaus / provider-bitwarden,https://github.com/niklasbeinghaus/provider-bitwarden,,0,1,1,2023-02-21,2023-02-21,0001-01-01,,0,0,0,0
upbound / provider-azuread,https://github.com/upbound/provider-azuread,,2,19,1,2023-02-21,2022-11-29,2023-02-20,https://doc.crds.dev/github.com/upbound/provider-azuread@v0.4.0,29,1,28,0
oracle-samples / provider-jet-oci,https://github.com/oracle-samples/provider-jet-oci,,0,2,2,2023-02-21,2022-12-21,0001-01-01,,0,0,0,0
smondeli / provider-github,https://github.com/smondeli/provider-github,Crossplane provider for github,0,1,0,2023-02-21,2023-02-21,0001-01-01,,0,0,0,0
smondeli / provider-oci,https://github.com/smondeli/provider-oci,Provider OCI is a Crossplane provider for Oracle Cloud Infrastructure (OCI),0,1,0,2023-02-20,2023-02-20,0001-01-01,,0,0,0,0
crossplane-contrib / provider-palette,https://github.com/crossplane-contrib/provider-palette,,1,5,0,2023-02-20,2022-06-10,2023-01-27,https://doc.crds.dev/github.com/crossplane-contrib/provider-palette@v1.0.0,38,36,2,0
crossplane-contrib / provider-palette,https://github.com/crossplane-contrib/provider-palette,,1,5,0,2023-02-20,2022-06-10,2023-01-27,https://doc.crds.dev/github.com/crossplane-contrib/provider-palette@v1.0.0,38,36,2,0
